snapshot_version,source_provenance,analyzer_name,analyzer_version_or_commit,offline_run_id,review_status,reviewer,reviewed_at,source_text_id,token_index,surface_form_vocalized,surface_form_unvocalized_key,normalized_surface_nfc,segmentation_hint,legacy_class,legacy_subclass,legacy_verb_kind,legacy_verb_tense,legacy_root,legacy_wazn,morphology_ambiguity_tags,reliability_tag,certainty_class,unsafe_final_looking,allowed_feed_targets,ignored_fields_summary,quarantine_reason
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,10,يَقُولُ,يقول,يَقُولُ,single_token,FIIL,,verbal,present,قول,فعل,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE|P3_1_WEIGHT_PATTERN,"legacy_role_i3rab='فعل مضارع' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,11,يَبِيعُ,يبيع,يَبِيعُ,single_token,FIIL,,verbal,present,يبع,فَعِيل,weak_letter,suspicious_defer,not_captured,true,P5_1_INFLECTIONAL_CLOSURE|P3_1_WEIGHT_PATTERN,"legacy_role_i3rab='فعل مضارع' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,13,آمَنَ,آمن,آمَنَ,single_token,FIIL,,verbal,past,ءمن,فاعل,hamza|madd,suspicious_defer,not_captured,true,P5_1_INFLECTIONAL_CLOSURE|P3_1_WEIGHT_PATTERN,"legacy_role_i3rab='فعل ماضٍ' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,12,مَدَّ,مد,مَدَّ,single_token,FIIL,,verbal,past,مدد,فعل,shadda|geminate,suspicious_defer,not_captured,true,P5_1_INFLECTIONAL_CLOSURE|P3_1_WEIGHT_PATTERN,"legacy_role_i3rab='فعل ماضٍ' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,quarantined,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,28,مكتوب,مكتوب,مكتوب,single_token,ISM_MUARAB,,,,متوب,فَكَفَعَل,weak_letter|unvocalized,suspicious_defer,not_captured,true,,"legacy_role_i3rab='اسم' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",legacy root متوب is a misread of the unvocalized surface (correct كتب); root_wazn suspicious; withheld pending vocalized capture
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,14,مِن,من,مِن,single_token,HARF,,,,,,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE,"legacy_role_i3rab='حرف جر' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,15,إلى,إلى,إلى,single_token,HARF,,,,,,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE,"legacy_role_i3rab='حرف جر' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,16,على,على,على,single_token,HARF,,,,,حرف,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE,"legacy_role_i3rab='حرف' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,quarantined,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,21,هو,هو,هو,single_token,ISM_MABNI,,,,,,,out_of_scope_pronoun,not_captured,true,,"legacy_role_i3rab='اسم مبني' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture","standalone pronoun excluded from context-free P5.1 runtime; referential/indexical, requires a separate governed pronoun/reference policy; Hussein ISM_MABNI origin preserved (provenance intact)"
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,17,هذا,هذا,هذا,single_token,ISM_MABNI,,,,,,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE,"legacy_role_i3rab='اسم مبني' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,18,ذلكم,ذلكم,ذلكم,single_token,ISM_MABNI,,,,,,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE,"legacy_role_i3rab='اسم مبني' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,19,الذي,الذي,الذي,single_token,ISM_MAWSOOL,,,,,,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE,"legacy_role_i3rab='اسم' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,20,الذين,الذين,الذين,single_token,ISM_MAWSOOL,,,,,,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE,"legacy_role_i3rab='اسم مجرور' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,22,عليه,عليه,عليه,single_token,HARF,,,,,,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE,"legacy_role_i3rab='حرف' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,23,منه,منه,منه,single_token,HARF,,,,,,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE,"legacy_role_i3rab='حرف' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
v1,"captured from /Users/husseinhiyassat/fractal/hussein/clean_code/analyze_verse_v3.py --morph --i3rab (read-only, verbatim)",hussein,analyze_verse_v3.py (commit unknown; offline --morph --i3rab capture),stage_a_capture/words_morph_i3rab,manually_reviewed,maintainer (Stage A verbatim review),2026-06-24,stage_a/words_morph_i3rab.raw.txt,24,بكم,بكم,بكم,single_token,HARF,,,,,,,proposal_evidence,not_captured,true,P5_1_INFLECTIONAL_CLOSURE,"legacy_role_i3rab='حرف' (unsafe_final_looking, ignored — never fed); analyzer produced no relations/events/speech-act/mood/resolution/meaning/Q&A/tafsir in this capture",
